"name","desc","lang","sentences__text","sentences__intent","sentences__entities__entity","sentences__entities__start","sentences__entities__stop","sentences__entities__text","sentences__training"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","6","nordfriedhof",""
"","","","","","StationDest","8","9","garching forschungszentrum",""
"","","","i want to travel from garching to odeonsplatz?","FindConnection","StationStart","5","5","garching","True"
"","","","","","StationDest","7","7","odeonsplatz",""
"","","","how can i get to sendlinger tor?","FindConnection","StationDest","5","6","sendlinger tor","True"
"","","","how do i get to untere straussäcker?","FindConnection","StationDest","5","6","untere straussäcker","True"
"","","","how can i get from garching to garching?","FindConnection","StationStart","5","5","garching","True"
"","","","","","StationDest","7","7","garching",""
"","","","how can i get from garching to sendlinger tor?","FindConnection","StationStart","5","5","garching","True"
"","","","","","StationDest","7","8","sendlinger tor",""
"","","","how can i get from garchingto garching?","FindConnection","StationStart","5","5","garchingto","True"
"","","","","","StationDest","6","6","garching",""
"","","","when is the next train from garching","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","6","garching",""
"","","","how do i get from marienplatz zu garching","FindConnection","StationStart","5","5","marienplatz","True"
"","","","","","StationDest","7","7","garching",""
"","","","how can i get to milbertshofen from garching?","FindConnection","StationStart","7","7","garching","True"
"","","","","","StationDest","5","5","milbertshofen",""
"","","","when is the next train to garching","FindConnection","Criterion","3","3","next","True"
"","","","","","Vehicle","4","4","train",""
"","","","","","StationDest","6","6","garching",""
"","","","how can i get from garching to milbertshofen?","FindConnection","StationStart","5","5","garching","True"
"","","","","","StationDest","7","7","milbertshofen",""
"","","","when does the next rocket leaves from garching forschungszentrum?","DepartureTime","Criterion","3","3","next","True"
"","","","","","Vehicle","4","4","rocket",""
"","","","","","StationStart","7","8","garching forschungszentrum",""
"","","","connection from untere straßäcker 21 to kieferngarten","FindConnection","StationStart","2","4","untere straßäcker 21","True"
"","","","","","StationDest","6","6","kieferngarten",""
"","","","how to get from untere strassäcker 21 to frötmaning","FindConnection","StationStart","4","6","untere strassäcker 21","True"
"","","","","","StationDest","8","8","frötmaning",""
"","","","how to get from untere strassaecker 21 to frötmaning","FindConnection","StationStart","4","6","untere strassaecker 21","True"
"","","","","","StationDest","8","8","frötmaning",""
"","","","when is the next train from untere straßaecker 21 to kieferngarten","FindConnection","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","8","untere straßaecker 21",""
"","","","","","StationDest","10","10","kieferngarten",""
"","","","when is the next train from untere straßaecker 21, garching to kieferngarten","FindConnection","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","10","straßaecker 21, garching",""
"","","","","","StationDest","12","12","kieferngarten",""
"","","","from garching to perlach","FindConnection","StationStart","1","1","garching","True"
"","","","","","StationDest","3","3","perlach",""
"","","","how to get from garching to perlach?","FindConnection","StationStart","4","4","garching","True"
"","","","","","StationDest","6","6","perlach",""
"","","","how to get from bonnerplatz to freimann","FindConnection","StationStart","4","4","bonnerplatz","True"
"","","","","","StationDest","6","6","freimann",""
"","","","when is the next train in nordfriedhof?","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","6","nordfriedhof",""
"","","","when is the next train in münchner freiheit?","DepartureTime","Vehicle","4","4","train","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","7","münchner freiheit",""
"","","","connection from hauptbahnhof to odeonsplatz?","FindConnection","StationStart","2","2","hauptbahnhof","True"
"","","","","","StationDest","4","4","odeonsplatz",""
"","","","how do i get from olympia einkaufszentrum to hauptbahnhof?","FindConnection","StationStart","5","6","olympia einkaufszentrum","True"
"","","","","","StationDest","8","8","hauptbahnhof",""
"","","","when is the next bus in garching forschungszentrum","DepartureTime","Vehicle","4","4","bus","True"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","7","garching forschungszentrum",""
"","","","how can i get from garching to marienplatz","FindConnection","StationStart","5","5","garching","True"
"","","","","","StationDest","7","7","marienplatz",""
"","","","from garching to studentenstadt","FindConnection","StationStart","1","1","garching","True"
"","","","","","StationDest","3","3","studentenstadt",""
